customerid,customer_name,country,state,gender,dob,age,age_group,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,tenure_days,tenure_years,tenure_group,annual_charges,cancellation_year,cancellation_month,churn_risk_group,complaint_count,escalation_count,avg_csat_score,last_complaint_date
0002-ORFBO,keshav,India,Maharashtra,Male,1982-04-12,44,36-45,2021-03-15,Referral,2025-03-15,Standard,Annual,,,13.99,627,12,0,2016.0,5.52,5-7 years,167.88,,,Low Risk,,,,
0003-MKNFE,raghav,India,Karnataka,Male,1995-11-23,31,26-35,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,1,1501.0,4.11,3-5 years,155.88,2024.0,9.0,High Risk,2.0,1.0,35.0,2024-08-28
0004-TLHLJ,lalita,India,Delhi,Female,1978-02-15,48,46-55,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210,34,0,1401.0,3.84,3-5 years,83.88,,,Medium Risk,,,,
0011-IGKFF,mohan,India,Nagaland,Male,2001-08-30,25,18-25,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725,8,0,2691.0,7.37,7+ years,275.88,,,Low Risk,,,,
0013-EXCHZ,mira,India,Delhi,Female,1990-05-05,36,36-45,2023-01-05,Referral,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,1,419.0,1.15,1-3 years,167.88,2024.0,2.0,High Risk,1.0,1.0,20.0,2024-01-20
0013-MHZWF,durga,India,Delhi,Female,1988-12-10,38,36-45,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720,22,0,1556.0,4.26,3-5 years,215.88,,,Low Risk,1.0,0.0,90.0,2025-03-18
0013-SMEOE,mina,India,Meghalaya,Female,1976-09-21,50,46-55,2021-09-30,Referral,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,1,1142.0,3.13,3-5 years,107.88,2024.0,11.0,High Risk,1.0,0.0,30.0,2024-11-01
0014-BMAQU,madan,India,Rajasthan,Male,1999-03-14,27,26-35,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840,5,0,2411.0,6.6,5-7 years,275.88,,,Low Risk,,,,
0015-UOCOJ,maya,Nepal,Kathmandu,Female,1985-07-07,41,36-45,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240,34,0,1157.0,3.17,3-5 years,167.88,,,Medium Risk,,,,
0016-QLJIS,arjun,Nepal,Kathmandu,Male,1993-10-29,33,26-35,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335,41,0,1632.0,4.47,3-5 years,83.88,,,Medium Risk,,,,
